	source	interaction	target
1	PRKG1	-1	TRPC3
2	PRKG1	1	TRPC7
3	OS9	0	TRPV4
4	PTPN1	-1	TRPV6
5	RACK1	-1	TRPM6
6	PRKACA	-1	MCOLN1
7	MAPK14	1	MAPKAPK2
8	MAPKAPK2	1	HNRNPA0
9	MAPKAPK2	-1	PARN
10	JAK2	1	EPOR
11	NUMB	0	NOTCH1
12	MAPK14	0	ZFP36
13	MAPKAPK2	0	ZFP36
14	JAG2	0	NOTCH1
15	DLL1	1	NOTCH1
16	AKT1	1	CHUK
17	CHUK	0	NFKB1
18	CDK1	0	RRM2
19	CASP3	1	ACIN1
20	CDKN1A	-1	CDK1
21	TERF2	-1	ATM
22	ATR	1	XPA
23	IGF1	1	IGF1R
24	ABL1	1	TP73
25	PRKN	-1	SEPTIN5
26	USP7	1	MDM2
27	USP7	1	MDM4
28	MDC1	1	RNF8
29	PRKN	-1	RANBP2
30	PRKN	0	SNCAIP
31	PRKN	0	SNCA
32	BACE1	1	APP
33	PTEN	-1	PREX2
34	PREX2	-1	PTEN
35	PTPRD	-1	STAT3
36	PEBP1	0	RAF1
37	FBXW7	0	MYC
38	PAK1	1	PXN
39	CASP3	0	GSN
40	SMG1	1	UPF1
41	MAP2K4	1	MAPK8
42	ULK1	1	ATG13
43	ULK1	1	RB1CC1
44	MTOR	-1	ATG13
45	ATG13	1	RB1CC1
46	MTOR	-1	ULK2
47	TIAM1	1	RAC1
48	ATG10	1	ATG12
49	MTOR	1	RPTOR
50	AKT1	-1	AKT1S1
51	DAPK1	-1	CAMKK2
52	ATG13	1	ULK2
53	ULK2	1	ATG13
54	UVRAG	0	BECN1
55	BCL2L1	0	BECN1
56	MTOR	-1	AKT1S1
57	PLCE1	0	HRAS
58	MAPK14	1	MAPKAPK5
59	MAPKAPK5	1	TP53
60	ATG4B	0	MAP1LC3B
61	DAPK1	1	MCM3
62	CASP3	0	SPTAN1
63	TOPBP1	1	ATR
64	TIRAP	1	MYD88
65	PDPK1	1	PRKCG
66	RALGDS	1	RALA
